,qCorn,qBarley,qOats,qSoy,qPeanut,qCottonSeed,qSunflowerSeed,qRice,qWheat,pCorn,pBarley,pOats, pSoy ,pPeanut, pCottonSeed ,pSunflowerSeed,pRice,pWheat,eCorn,eBarley,eOats,eSoy,ePeanuts,eCottonSeed,eSunflowerSeed,eRice,eWheat,eTotal,wCorn,wBarley,wOats,wSoy,wPeanuts,wCottonSeed,wSunflowerSeed,wRice,wWheat
1980/81,"4,891,000,000","346,000,000","511,000,000","1,118,536,000","2,415,762,000",4998800,"2,059,513,414","62,389,000","782,000,000",3.11,2.79,1.72, 7.57 ,0.251, 129.00 ,0.109,12.8,3.91,15211010000,965340000,878920000,8467317520,606356262,644845200,224486962.1,798579200,3057620000,30854475144,0.492992019,0.031286872,0.028485981,0.274427534,0.019652133,0.020899568,0.007275669,0.025882119,0.099098104
1981/82,"4,978,000,000","372,000,000","533,000,000","1,118,606,000","3,063,850,000",5968200,"1,215,750,952","68,355,000","847,000,000",2.5,2.48,1.88, 6.07 ,0.269, 86.00 ,0.108,9.05,3.66,12445000000,922560000,1002040000,6789938420,824175650,513265200,131301102.8,618612750,3100020000,26346913123,0.472351351,0.035015867,0.038032539,0.257712863,0.031281678,0.019481037,0.004983548,0.023479515,0.117661602
1982/83,"5,428,000,000","411,000,000","527,000,000","1,195,174,000","2,654,255,000",5142300,"2,109,662,636","63,051,000","908,000,000",2.55,2.18,1.49, 5.71 ,0.251, 77.00 ,0.0903,7.91,3.55,13841400000,895980000,785230000,6824443540,666218005,395957100,190502536,498733410,3223400000,27321864591,0.506605248,0.032793516,0.028739986,0.249779568,0.024384061,0.014492316,0.006972531,0.018254003,0.117978771
1983/84,"4,806,000,000","452,000,000","544,000,000","1,061,710,000","2,806,530,000",3280500,"1,548,568,112","54,850,000","1,114,000,000",3.21,2.47,1.62, 7.83 ,0.247, 166.00 ,0.13,8.57,3.53,15427260000,1116440000,881280000,8313189300,693212910,544563000,201313854.6,470064500,3932420000,31579743565,0.488517583,0.035353042,0.027906496,0.263244357,0.021951189,0.01724406,0.006374778,0.014885001,0.124523494
1984/85,"5,182,000,000","476,000,000","508,000,000","1,122,502,000","2,734,945,000",4799400,"1,531,617,674","60,519,000","1,156,000,000",2.63,2.29,1.67, 5.84 ,0.279, 99.50 ,0.113,8.04,3.39,13628660000,1090040000,848360000,6555411680,763049655,477540300,173072797.2,486572760,3918840000,27941547192,0.487756097,0.03901144,0.030361955,0.234611621,0.027308783,0.017090689,0.006194102,0.017413952,0.14025136
1985/86,"5,267,000,000","497,000,000","541,000,000","1,137,748,000","3,658,087,000",5329700,"2,094,369,800","65,813,000","1,052,000,000",2.23,1.98,1.23, 5.05 ,0.243, 66.00 ,0.0793,6.53,3.08,11745410000,984060000,665430000,5745627400,888915141,351760200,166083525.1,429758890,3240160000,24217205156,0.485002705,0.040634747,0.027477572,0.237253943,0.036705934,0.014525219,0.00685808,0.017746015,0.133795786
1986/87,"5,893,000,000","473,000,000","467,000,000","1,285,476,000","2,876,225,000",3943600,"1,935,021,170","77,641,000","1,197,000,000",1.5,1.61,1.21, 4.78 ,0.292, 80.00 ,0.069,3.75,2.42,8839500000,761530000,565070000,6144575280,839857700,315488000,133516460.7,291153750,2896740000,20787431191,0.425232917,0.036634156,0.027183253,0.29559089,0.040402188,0.015176863,0.006422942,0.01400624,0.139350551
1987/88,"6,041,000,000","427,000,000","440,000,000","1,268,693,000","3,168,450,781",5551000,"2,159,984,204","80,450,000","1,096,000,000",1.94,1.81,1.56, 5.88 ,0.28, 82.50 ,0.0834,7.27,2.57,11719540000,772870000,686400000,7459914840,887166218.5,457957500,180142682.6,584871500,2816720000,25565582741,0.45841083,0.030230877,0.026848596,0.29179522,0.034701584,0.017913048,0.007046297,0.0228773,0.110176249
1988/89,"5,232,000,000","346,000,000","293,000,000","1,146,288,000","3,284,595,467",5721100,"1,918,420,105","82,418,000","979,000,000",2.54,2.8,2.61, 7.42 ,0.279, 119.00 ,0.121,6.83,3.72,13289280000,968800000,764730000,8505456960,916402135.4,680810900,232128832.8,562914940,3641880000,29562403768,0.449533134,0.032771354,0.025868329,0.287711954,0.030998905,0.023029619,0.007852164,0.019041582,0.123192959
1989/90,"5,753,000,000","364,000,000","380,000,000","1,247,050,000","3,145,484,793",4930489.135,"1,710,324,678","81,916,000","992,000,000",2.36,2.42,1.49, 5.69 ,0.28, 105.00 ,0.106,7.35,3.72,13577080000,880880000,566200000,7095714500,880735742,517701359.2,181294415.9,602082600,3690240000,27991928617,0.485035532,0.031469071,0.020227259,0.253491447,0.031463918,0.018494666,0.006476668,0.02150915,0.131832288
