,qCorn,qBarley,qOats,qSoy,qPeanut,qCottonSeed,qSunflowerSeed,qRice,qWheat,pCorn,pBarley,pOats, pSoy ,pPeanut, pCottonSeed ,pSunflowerSeed,pRice,pWheat,eCorn,eBarley,eOats,eSoy,ePeanuts,eCottonSeed,eSunflowerSeed,eRice,eWheat,eTotal,wCorn,wBarley,wOats,wSoy,wPeanuts,wCottonSeed,wSunflowerSeed,wRice,wWheat
1990/91,"6,034,000,000","381,000,000","406,000,000","1,282,536,000","2,993,661,322",5633842.934,"1,953,570,999","91,211,000","1,365,000,000",3.11,2.79,1.72, 7.57 ,0.251, 129.00 ,0.109,12.8,3.91,13757520000,815340000,462840000,7361756640,1038800479,681694995,210985667.8,611113700,3562650000,28502701481,0.482674248,0.02860571,0.016238461,0.258282768,0.036445685,0.023916856,0.007402304,0.021440554,0.124993415
1991/92,"6,331,000,000","401,000,000","360,000,000","1,356,588,000","3,558,534,201",6957069.908,"3,078,580,400","95,341,000","1,132,000,000",2.5,2.48,1.88, 6.07 ,0.269, 86.00 ,0.108,9.05,3.66,15004470000,842100000,435600000,7569761040,1007065179,493951963.5,267528636.8,722684780,3396000000,29739161599,0.504535743,0.028316198,0.014647353,0.254538482,0.033863267,0.016609478,0.008995837,0.024300779,0.114192863
1992/93,"6,808,000,000","364,000,000","358,000,000","1,407,564,000","3,040,211,216",6133124.505,"2,836,202,000","94,603,000","1,128,000,000",2.55,2.18,1.49, 5.71 ,0.251, 77.00 ,0.0903,7.91,3.55,14092560000,742560000,472560000,7826055840,912063364.8,597979639.2,276246074.8,557211670,3654720000,29131956589,0.483749176,0.025489534,0.016221362,0.268641614,0.031308002,0.020526587,0.009482579,0.019127163,0.125453983
1993/94,"6,293,000,000","416,000,000","318,000,000","1,371,301,000","3,150,884,600",6119156.263,"2,402,948,769","97,958,000","1,240,000,000",3.21,2.47,1.62, 7.83 ,0.247, 166.00 ,0.13,8.57,3.53,15732500000,827840000,432480000,8776326400,957868918.4,691464657.8,309980391.1,781704840,4042400000,32552565207,0.483295246,0.025430868,0.013285589,0.269604756,0.029425298,0.02124148,0.009522457,0.024013617,0.12418069
1994/95,"7,175,000,000","401,000,000","326,000,000","1,554,652,000","3,306,155,050",7255406.036,"4,225,350,100","98,358,000","1,287,000,000",2.63,2.29,1.67, 5.84 ,0.279, 99.50 ,0.113,8.04,3.39,16215500000,814030000,397720000,8519492960,955478809.5,732796009.6,452112460.7,666867240,4440150000,33194147480,0.488504789,0.024523299,0.01198163,0.256656477,0.028784556,0.022076061,0.013620246,0.020089904,0.133763038
1995/96,"6,321,000,000","351,000,000","274,000,000","1,481,066,000","3,228,428,040",6790006.762,"3,335,877,265","104,928,000","1,140,000,000",2.23,1.98,1.23, 5.05 ,0.243, 66.00 ,0.0793,6.53,3.08,20480040000,1014390000,457580000,9952763520,945929415.7,719740716.8,383625885.5,960091200,5187000000,40101160738,0.510709406,0.025295777,0.011410642,0.248191407,0.023588579,0.017948127,0.009566453,0.023941731,0.129347877
1996/97,"6,991,000,000","389,000,000","248,000,000","1,554,803,000","3,082,385,350",7020046.937,"3,289,760,038","101,605,000","1,301,000,000",1.5,1.61,1.21, 4.78 ,0.292, 80.00 ,0.069,3.75,2.42,18945610000,1065860000,486080000,11427802050,866150283.4,884525914.1,384901924.5,1011985800,5594300000,40667215972,0.465869363,0.026209318,0.011952625,0.28100773,0.02129849,0.021750343,0.009464674,0.024884561,0.137562896
1997/98,"7,287,000,000","316,000,000","256,000,000","1,751,790,000","2,944,912,000",6841039.023,"3,556,299,409","103,916,000","1,257,000,000",1.94,1.81,1.56, 5.88 ,0.28, 82.50 ,0.0834,7.27,2.57,17707410000,752080000,409600000,11334081300,833410096,827765721.8,412530731.5,1007985200,4248660000,37533523049,0.471775857,0.020037554,0.010912911,0.301972221,0.02220442,0.022054037,0.010990994,0.026855598,0.113196408
1998/99,"7,314,000,000","330,000,000","264,000,000","1,790,852,000","3,013,586,912",5673911.597,"4,469,997,001","114,038,000","1,381,000,000",2.54,2.8,2.61, 7.42 ,0.279, 119.00 ,0.121,6.83,3.72,14189160000,653400000,290400000,8828900360,855858683.1,731934596.1,473819682.1,1013797820,3659650000,30696921141,0.462233979,0.021285522,0.009460232,0.287615175,0.027880929,0.023843909,0.015435414,0.033026042,0.119218797
1999/00,"7,578,000,000","302,000,000","248,000,000","1,743,249,000","3,425,370,036",6582608.258,"3,979,909,520","121,883,000","1,300,000,000",2.36,2.42,1.49, 5.69 ,0.28, 105.00 ,0.106,7.35,3.72,13791960000,643260000,277760000,8071242870,870043989.3,585852134.9,299687186.8,722766190,3224000000,28486572371,0.484156529,0.022581165,0.009750559,0.283334996,0.030542249,0.020565905,0.010520296,0.025372171,0.113176129
2000/01,"7,799,000,000","294,000,000","257,000,000","1,807,921,812","3,090,776,720",6421830.909,"3,410,670,020","117,501,000","1,330,000,000",2.28,2.14,1.14, 5.74 ,0.347, 121.00 ,0.108,6.7,2.61,14428150000,620340000,282700000,8207965024,846872821.3,674292245.4,234995164.4,659180610,3484600000,29439095866,0.490101668,0.021071979,0.009602876,0.278811722,0.028766944,0.022904652,0.007982418,0.022391333,0.118366407
2001/02,"7,911,000,000","260,000,000","220,000,000","1,869,036,553","3,399,973,313",7533121.378,"3,175,439,010","123,262,000","1,192,000,000",2.37,2.1,1.21, 5.58 ,0.283, 71.00 ,0.0869,7.58,3,15584670000,577200000,349800000,8186380103,795593755.3,681747484.7,305477232.8,523863500,3313760000,30318492076,0.514031831,0.019037886,0.011537513,0.270012772,0.026241205,0.022486194,0.010075608,0.017278679,0.109298312
2002/03,"7,903,000,000","238,000,000","222,000,000","1,746,167,899","3,507,797,876",5971351.405,"2,100,836,774","113,408,000","1,119,000,000",2.07,2.04,1.32, 5.56 ,0.3, 97.50 ,0.0974,5.89,3.24,18334960000,647360000,401820000,9656308482,639822332.6,603106491.9,254201249.7,509201920,3983640000,35030420477,0.523401083,0.018479938,0.011470602,0.275654941,0.018264763,0.01721665,0.007256586,0.014535992,0.113719446
